Datum,Walzenlage,Ringstellung,Steckerverbindungen,Grundstellung
Date,Rotors,Ring_settings,Plugboard_settings,Initial_rotor_positions
30,V III II,AKK,AO HI MU SN VX ZQ,FDV
29,IV III V,JHS,LW RH UQ VP YM ZA,OTO
28,IV I II,DIL,EM HL PZ RJ SV UQ,JJK
27,III I IV,ICC,AX CW FZ KT PO SQ,RXV
26,IV II III,ECW,GS JD MN OQ VF XH,GUB
25,V III I,MFO,DW GO HE UF YI ZJ,ZBY
24,V III I,UCO,GC JU KE MF OD XY,BDT
23,II V IV,RWQ,BN FK OS PW TA ZE,IYM
22,IV II I,TRK,BN DU JI OK TF XC,SFX
21,II V III,CTZ,AF BK GJ VQ XH YT,TQO
20,I V III,XOM,BX IS LY NF QO WA,DKV
19,IV V II,LDQ,CR FO LI NM PD XH,IAH
18,IV I III,NWL,HV IM JB OT QA UF,HSP
17,II IV III,HFZ,FE IB OQ VC YW ZM,GPZ
16,II I IV,UBJ,CO GV IH KD ML RB,PJU
15,I II IV,BCG,ES GD IZ JF LN YA,KFQ
14,II V IV,EAP,BT CO NE PK VY ZI,CCH
13,I V II,AOK,CA DZ HK LP RQ YV,DMF
12,III I II,CKU,CK IZ QT NP JY GW,VQN
11,II III I,BHN,FR LY OX IT BM GJ,XIO
10,I V II,QKP,AF HQ IJ OT PB YG,MSW
9,V I II,UTC,DE FT IP OB UC YL,EQL
8,V IV II,GDJ,GT HR JI OK QE UZ,PLE
7,I II III,WNM,HK CN IO FY JM LW,RAO
6,V I III,ETT,FT HC KD PM YO ZB,HXA
5,V I III,MHY,BZ HS JF MW NG PV,XXJ
4,IV V III,WXE,DG IN JT UC VB WZ,OFP
3,IV II III,LIQ,BJ HC PI RF UO ZQ,KTR
2,II I V,NQC,AV KZ MS QP XF YU,ZJR
1,V II I,IHQ,ET LD NP QS RA UW,UJJ
